ID	Text	label
96697	@USER @USER @USER That’s a people Chicago hell gun control works in their town	OFF
91190	@USER I don't know if this cat even realizes what he is doing.	NOT
26789	@USER Maybe you haven’t seen how well #MAGA is working on our economy. The turn around is restitching the fray in our social fabric and rekindling our civic spirit. These reforms are enlightening and educating the next generation in responsible civics. #WalkAway	NOT
24774	@USER Fool	OFF
24546	@USER And I think Australia has  gun control and less firearm shootings.	NOT
67511	@USER @USER @USER @USER @USER It's already legalized killing of babies and liberals are afraid of Trumps supreme court picks taking it away.	OFF
78650	@USER Funny that even the woman that brought Roe vs. Wade to the #SCOTUS regretted it later. It was one thing to have a medical emergency that required an abortion (though rare) &amp; another to have liberals celebrating killing their unborn children &amp; pretending it's health care.	OFF
33595	@USER Guess you are going to ignore what karmys are asking...  💀💀💀	NOT
71437	@USER @USER @USER @USER @USER Just admit Manchester isn’t blue pal and everyone will be calm when you are the most successful club in the country let alone Manchester than we can talk	NOT
58582	@USER @USER Haha true.  Back to your original point... if we all just fucking drive everything would be fine!	OFF
27161	@USER Sam was singing and they DiDNT tell her to stop singing and she thanked them!! Unbelievable!!! Who the hell is she talking to?! It's bad enough when she is talking to one of the houseguest !! But to keep talking to herself! Wonder what her family think about her going nuts!	OFF
50613	@USER @USER @USER @USER @USER No kidding and I don't support that. Still doesn't cancel out the many violent protests by antifa. The money and support has been traced to George Soros and he is a big player within the democrat party	NOT
13136	An Anonymous message to #Antifa #Q #QAnon #TheGreatAwakening #CommieClowns #ResistanceRises #Resistance URL	NOT
43190	@USER I know she is 15 but I still don’t think it’s real	NOT
17439	"1/ Resists newest tactic against conservatives.  They have decided to trend disarmthem""  And advocates attempting to take a weapon from people open carrying.  1. open carry hopefully has retention on their holster. 2. This is likely to result in being fired upon by 2nd party."""	OFF
51768	@USER @USER can you please tell jimin even if he knows just how amazing he is and that he actually saved my life no joke we're really thankful and please be safe and healthy i pray for you every single day and minute  to be protected and safe 💜Thank you @USER	NOT
78986	@USER @USER @USER You are 100% right; successful prosecution will send the right message.   That said the inability of a voter to take a photo evidence of the party voted reduces the likelihood of vote buying.  No party will waste money with this new approach because there is zero guarantee.	NOT
46418	"@USER Well, there's that one idiot you keep thinking will show up in your mirror every sundown when you rise again to walk the night in search of carnage to fill the emptiness where your heart &amp; soul used to be. Altho, now ya mention it, lots of other conservatives"" come to mind too."""	OFF
49759	@USER @USER He can admit that 3000 Americans died on his watch. You should remind him he is President of all of us.	NOT
18562	@USER @USER Little ass boy🐒	OFF
25698	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER We’ve also written a post about 5 metrics to measure the success of your B2B podcast: URL	NOT
25360	@USER @USER We can empty all our prisons also and just say they broke no laws.....Liberal logic.	NOT
81782	@USER that’s so fucked up omg in my old hs there’s open campus and for every period you skip there’s a 200 dollar fine lmaooo	OFF
75411	@USER Liberals want to control ppl from cradle to coffin. They'd b happy if ppl avoided all physical/social contact w each other..... they are making us so suspicious of each other. DIVIDE AND CONQUER is their hidden agenda.	OFF
25338	@USER Blowing dirt and the misery of millions?	OFF
71603	@USER The liberals are really displaying hate &amp; their message of division. Republicans really need to take advantage of this by welcoming the disgusted democrats that had enough with their party &amp; want a solid policy &amp; no more insults.	OFF
43602	@USER @USER She’s a class act isn’t she. Kim the 2nd	NOT
16885	@USER By the way why don’t you move to Haiti ? You liberals seem to make shit holes out of large cities. So go somewhere where it’s already a shit hole so you don’t have to do any work !	OFF
42205	@USER @USER #Privilege Lane🤔 #MAGA Blvd🤔 Good Ole Days Avenue🤔	OFF
54578	@USER @USER @USER OMG he is so cute！！Which video is this gif come from？	NOT
47425	@USER He is starting to tweet nonsense like Mango Mussolini	OFF
23667	@USER There must be a cash prize or something for whoever comes up with the first “conservatives pounce” take.	OFF
39729	@USER @USER Anyone can say or write anything about themselves. Suppose tomorrow she says that she is a prophet and human race needs to follow her.  What does that tell about her ?  Once I see someone as useless moron I stop giving them any attention. You do the same brother. She is nobody.	OFF
33411	@USER The Framers of the Constitution were primarily White Anglo-Saxon men so what might that tell us about modern day Anti-federalists and the Antifa movement and the extremes they might go to?  URL URL	NOT
92336	@USER Why would someone be videoing ? Inside job? 😳 asking for a friend . Hope she is ok .	NOT
78499	Love our @USER #MAGA 🇺🇸❤️ URL	NOT
52806	@USER Do you think if we let the ECB handle Brexit &amp; the Conservatives handle this new tournament they might actually make less of a mess of them both?	NOT
35726	@USER @USER Same rat that said antifa was a Black organization	OFF
86903	@USER You are the cup holder.	NOT
72677	@USER @USER Forget that @USER called @USER a con man and a KKK supporter...she actually voted  for @USER Doesn't that sum up how truly unqualified she is for Florida	OFF
24439	@USER @USER I thought Lisa O’Neill rode him? She is brilliant though	NOT
36427	@USER @USER @USER @USER Also Jaclyn is either crazy stupid or she is straight up lying to people about the Morphe return policy. That is also deceptive and predatory	OFF
15554	@USER @USER Antifa will sign anything if they’re paid enough.	NOT
22450	@USER @USER @USER There are thousands apon thousands of videos on YouTube alone of Antifa attacking people just for being at Trump rallies or Republican events. This is not happening anywhere to Democrats. This is on a widespread scale and people like you try to lie and obfuscate to cover them	OFF
26123	@USER War on Conservatives never stops.	NOT
40140	@USER @USER @USER @USER @USER @USER @USER I cited the Constitution. That’s not good enough for you?	NOT
56563	@USER Does penn state produce criminals too?	NOT
32450	@USER That shit hurts😞😞	OFF
55085	@USER Obama will preach about gun control in the U.S. but then arm the drug cartels in Mexico and advocate for open borders. A piece of shit is worth more than Obama.	OFF
30863	@USER As they should be	NOT
28645	@USER I am and I'm voting absentee for the first time in a midterm!! #MAGA	NOT
45869	@USER What if the law is reasonable gun control?	NOT
76107	@USER @USER @USER Just because it isn't a sexy diagnosis doesn't mean it gets low quality care. You are making an incorrect assumption.	NOT
68683	@USER @USER Don't hold your breath. Biased media will just double down on conservatives. The public is slowly catching on.	NOT
50428	@USER @USER @USER Unbelievable!	NOT
44732	@USER @USER @USER @USER I cant even imagine it. I think they would boot her off. She is the craziest reality star of all time.	NOT
20989	@USER Everyone saying Fuck Russ dont know a damn thing about him or watched the interview 🤷‍♂️🤷‍♂️🤷‍♂️	OFF
33983	(Albert)  Conservatives are spreading the lie Anderson Cooper faked a hurricane... URL	OFF
14180	@USER Even though he has proved to be very efficient in almost every regard since taking office.  Hillary should fade away.	NOT
12774	@USER Holy shit- how brainwashed can ya be?	OFF
22949	"History will judge you well."" - #QAnon URL"	NOT
87329	@USER I think you say and write more intelligent commentary than most of the hosts at MSNBC. Fake liberals with big corporate blind spots.	OFF
69448	@USER Unless he is a contortionist. 😂😂😂	NOT
18807	@USER Also Puerto Rico is a island add in the middle of the Atlantic and people have nowhere to go. If a big enough hurricane comes through there everyone could die.	NOT
30254	@USER Just another reason she is vile	OFF
14391	12 Ways To Use Saul Alinsky's Rules For Radicals Against Liberals URL	NOT
40536	@USER @USER @USER Every day her IQ gets lower and lower more wanna be nazi Barbie is going to be a pile of maga goo on the bottom of the set soon enough .	OFF
85257	"@USER @USER @USER @USER Politicians talk about racism, Islamophobia, Homophobia, Rape, Drug abuse etc etc......  Do you not understand how fucking sick it is to ask Jess if she's discussed with her children that complete strangers hate"" Mummy.  I hope for your own sake that you are unwell."""	OFF
21072	@USER @USER @USER ... those are conservative values? Last time I checked those were more descriptive of liberals than conservatives	NOT
65862	@USER @USER you are totally disgraceful with you name calling....disgusting	OFF
73980	@USER Clearly it does bc the cheerleader is smaller than the other girl and she whooped that ass after being slammed to the ground and everything	OFF
64562	@USER @USER @USER Why shouldn’t we be surprised when someone who promotes ANTIFA violence in public is suddenly accused of violence/domestic violence etc?!!?	NOT
32817	"#TuesdayThoughts The White men"". Anyone else tired of identity politics?  And see how women are the victim by the liberals. Go vote @USER Aren't you tired of getting bashed?"""	NOT
11604	@USER @USER This is going shake the church to the ground!	NOT
48200	@USER .@USER Me thinks you are TERRIFIED of Americans seeing the declassified docs! We conservatives like transparency which seems to be a dirty word to u dems. PS WE HAVE NO WORRIES ABOUT OUR GREAT PRESIDENT!  #DeclassifyItAll	NOT
20612	Honestly we all know he’s stupid but what is actually surprising is how dumb and easily persuaded the people of our country are .. he’ll say shit like this and every white redneck is screaming “YEAH MAGA BABY” URL	OFF
49344	@USER @USER Whistleblower must be the only non kid toucher behind the Vatican walls.	NOT
36011	@USER Gabole negatif thinking dong	NOT
30774	@USER @USER @USER Misdrawed. Cause she is not white and blonde. Why he did that? Can you answer that?	NOT
20516	...wasn't great but he is still the best I've seen...my money is on thed AB's winning both the Rugby Championships and the WC with Beauden Barrett to play a starring role. URL	NOT
72928	@USER @USER Shove it The View you are the most despicable show on tv and like everyone always says “who watches these bimbos”!	OFF
26180	@USER Fat ass liar strikes again. #NeverForget	OFF
27248	#WomenShouldRuleTheWorld that is all. URL via @USER	NOT
49252	@USER Be like Haiti and Obama and Clinton	NOT
24364	@USER Speaking of Fates babies. I hate Nina Fates and that she is in Feh. Honestly I don't get bitter about people being added. But she reminds me of a real life experience and it hits close to home	NOT
92775	@USER @USER You are pathetic. This has nothing to do with him his dad or the wall or Mexico. This is about Swallwell thinking its ok for liberals to threaten repubs but not the other away around.	OFF
20702	@USER He is also said we would have the cleaner air and water.  But his failure to protect our environment will also lead to mass death.	NOT
77308	@USER @USER @USER Why would anyone be in group lock-step with either party? I’m in favor of gun control and believe in climate change. I’m against big government and wealth redistribution. Independent thinkers don’t fit into either party.	NOT
93223	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER A fad is a fad	NOT
20691	@USER @USER @USER She is a wart on society	OFF
76865	@USER @USER That wench is on something.  She must be to spout her drivel.  Wanna bet someone gives her the beating first.  Let's see .. she is in a parking lot with no one else around and a few black women who are much better then her find her.  Or white people much brighter :)	OFF
38672	@USER @USER @USER That is exactly what liberals and Dems think about people on the right. It's funny how we've been pitted against each other when really our interests are all very similar with just some nuances. I'm a criminal defense attorney and I fight every day to protect our bill of rights.	NOT
14142	"@USER @USER It's not a conservative semantic argument. It's a stretch, meant to incite emotions with inflated school shooting"" statistic. People hear ""school shooting,"" and without reading they are meant to think of Parkland, and begin their predictable howls for gun control. Someone was"""	NOT
47968	@USER You not in GITMO yet? You do know you will face Jesus face to face don't you? Hope you repent before then because the wide gate and broad way you are on leads to destruction and it will be for eternity! Right now you are not looking so good!	NOT
49001	- Will liberals agree that any is destructive? URL	NOT
19032	@USER @USER She is only saying that because she wants to win.  Don’t vote for this fraud.	NOT
27296	@USER @USER @USER @USER @USER @USER @USER Classic Liberal projection. Accuse conservatives of what we do 🙄	NOT
98324	@USER Because you are 💩	OFF
27033	@USER A MASSIVE TOOL	NOT
68764	@USER The washed-out idiot #Biden feels he has a chance by insulting all conservatives who are supporting their great #POTUS...I don’t think so CRAZY JOE!!!	OFF
50648	@USER @USER Nothing more satisfying than a good scratch (or “howk” if you are a scottish badger!)	NOT
47662	@USER Guess he forgot to walk the liberal plank!	OFF
90375	@USER This makes me proud to be a resident of the City of Atlanta! Good to see places in Georgia still have character and integrity to do what's right and just amidst a state who can never seem to get that part together.	NOT
26624	@USER @USER NO REAL AMERICAN WOULD WATCH THIS CRAP	OFF
70290	@USER no she was mumbling i couldn’t hear shit she literally spoke w hand signs	OFF
15466	@USER @USER It is troubling to me that the top 2 Trump haters are Diane Feinstein &amp; Dick Schumer. The Jewish hatred for this country &amp; Conservatives &amp; Israel  is palpable. I am embarrassed by them.	NOT
42454	@USER @USER Find a voice? The voice they have is their choice to say no to having unprotected sex ... it's not just pregnancy women need to worry about it's STDS and HIV also ... Being responsible for your sexual safety is important ... In the age of #metoo you should already know this.	OFF
68611	"@USER He should be ashamed of himself.  Did Michael Moore start the term on the internet called a troll""?  I think he is an ancient troll that is coming into his age with the liberal hysteria and their guided ignorance."""	OFF
61554	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER You are making the outward trappings of respect and patriotism more important than the patriotism that exists when you volunteer to serve your nation.	NOT
12590	-he is the sweetest I swear💖	NOT
13632	@USER God save the United States if this travesty happens a second time. One hopes voters learned their lesson the first time	NOT
74245	@USER What a joke.  Another dirty tricks Democrat on the George Soros payroll.  The Democrat Party knows no shame.  #MAGA	OFF
41907	@USER @USER you have a lot to atone for. You better atone for all your lies. I used to think you were a better person. I can’t see anything but evil.	NOT
68120	@USER @USER @USER Can you eat this child you are wild	NOT
81754	@USER @USER @USER Tippi Hedren was in Julie and Jack (which rifftrax also did). The scene from Birdemic that she is credited for was from that movie playing on the tv in the hotel.	NOT
75052	#MAGA much? URL	NOT
52700	@USER He is a RiNO! Like McCain was. Why he is unelectable in Arizona .	NOT
21990	@USER They had sex he kicked to the curb. Melania in the white house she is still on the pole. Big memoir	NOT
21917	@USER @USER You can listen to it on the Dana Show podcast!	NOT
68748	@USER This kind of meme just drives me further away from the Conservatives. My mother and father are rolling in their proverbial...you know. They would be disappointed in the lowness of it all.	NOT
85266	@USER YOU ARE AN ANGEL💜	NOT
86963	@USER Gonna call bullshit on that one.	OFF
64091	@USER LIAR!!!!.... see Clarence Thomas confirmation.... this was never about the lie!..it was always a delay tactic...nothing more...disgusting liberals and the Game they call 'politics'	OFF
17995	@USER @USER is there any reason why you believe you are relevant anymore? You weren't relevant when you were Secretary of State all you wanted to do is give away everything to our enemies. Go crawl back under the rock with Barry Soweto	NOT
99068	@USER You are apiece of shit! WHY WOULD YOU KILL THAT ANIMAL? How is your mother?	OFF
77792	@USER It is a cult!  I pointed that out to my brother.  He has over 500 FB followers who love to talk hate and bash liberals.  I referred to them as his right-wing cult!	NOT
90091	@USER @USER Gun safety reform? What exactly does that mean? Do you mean gun control?	NOT
13316	"@USER @USER Communists: Liberals get the bullet, too.""  Me: ""Wow f*ck you!""  Communists: ""You are excluding instead of unifying."""""	OFF
81644	@USER You are absolutely right smdh	NOT
50379	.... and liberals do ... yea whatever! URL	NOT
45312	@USER i saw this before the results and literally thought i got eliminated WE URL	NOT
55756	@USER Harley is the right choice for public education. He is the right choice at the right time for Orange County.  Rouda is a moderate..pro business...pro family...and the only one who is pro American.	NOT
33019	@USER Croatian President's bikini photos worlds hottest president ever URL	OFF
96896	@USER Another person that should be blocked is @ CamilleKruger42. This person isn't vulgar but has some sort of agenda where he\she is copy &amp; pasting every one of Ed's tweets &amp; passing them off as their own. EVERY SINGLE TWEET. It's sick &amp; creepy.	NOT
10201	@USER We don't need to talk about gun control; we need to talk about criminal control.	NOT
31877	@USER @USER @USER If by Conservatives you mean people that work and pay taxes to help support people like you then I guess we are dumb thinking that you would appreciate it instead of wanting more and more. Get a job start paying taxes and see how much you love any tax and spend gov.	OFF
11317	@USER Need gun control to many	NOT
61093	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Followed All #Fantastic #MAGA #Patriots ❣ Look forward to you following back. Thank you  &amp; have a wonderful day 🇺🇸🙏💕	NOT
21336	@USER Ah.. classic antifa.. behaviour of trashpeople. =)	OFF
40282	@USER He is one crazy  person	OFF
73212	- Is Colin really that hot?  - Yes he is! 😏 URL	NOT
66524	@USER @USER Y’all are the best	NOT
71941	@USER and he took away the constitution from us.  congress refuses to restore it to us why is that?  Article 4 sec 4 was taken away..  and because of that there are NO gun control laws anymore. OBAMA is a STUPID MAN	OFF
69284	But does he schmooze with Communist #Putin in Helsinki like your daddy?   . @USER @USER @USER #MAGA @USER @USER @USER @USER URL	OFF
50771	@USER He is a beast	OFF
47391	@USER @USER Pretty much! You don't even have to say anything...just wear a MAGA hat!	NOT
33705	@USER He is so beautiful there.	NOT
26528	@USER @USER @USER Nasty a$$ Liberal sheep...you are prime example of sheeple with NO BRAIN.	OFF
62928	"@USER @USER @USER @USER @USER You challenged  libtards"" im here..my thoughts on gun control are simple assault weapons should be banned for civilians I don' t remember 17- 59 people murdered in 20 with a hammer I own a hand gun for protection i support our 2nd amendment"""	NOT
11581	@USER @USER @USER @USER @USER This is the violent liberal ANTIFA party! NOW they try to convince us they they have a heart?  And some woman is knocking our men.  There's go around with KKK hoods beating up strangers &amp; wrecking our towns. Most violent corrupt party ever.	OFF
52632	@USER @USER You are confused. JON!	NOT
78965	@USER Or the ones we lose when the NRA challenges reasonable gun control measures as unconstitutional as they did the new laws that the #Parkland kids helped get passed in FL.	NOT
34244	A new bill aims to send masked Antifa activists to jail for 15 years @USER URL  40 years!!!!!!	NOT
53185	@USER Another turd gone from ESPN. Maybe one day we can watch sports on the channel	NOT
97751	"@USER ATTENTION! @USER is publicizing an ANTIFA TARGET  list comprised of Trump Supporters' names. Some are high profile names and MANY are random everyday Trump supporters. Twitter has NOT suspended his account. Check out his Lists""."""	NOT
31931	@USER No it’s because you are a horrible person🤮🤮🤮🤮	OFF
78274	@USER Doesn't surprise me. Texans hate Liberals w/ Soros backing.	OFF
17853	@USER Only got Woman anatomy model and connect crewneck 😩😩😩	NOT
30264	"@USER @USER @USER 1. AFTER she lost, she focused on her opponent.  So you're when they lose...""  Serena wasn't losing. She is never losing until that last point. 2.  You can say she screamed (it was loud there), I use the word DEFENDED her integrity."""	NOT
11531	@USER @USER The argument will be made that the assault was decades ago and there have been no other complaints against Kavanaugh. But his lying in current and ongoing. That is enough to vote against him. He is now aligned with Trump in the way he handles accusations.	NOT
66813	... ammunition is in many states easier to buy than cold medicine...'   California Tries New Tack on Gun Violence: Bullet Control URL	NOT
16502	#MOGG: #JacobReesMogg calls for @USER to #ChuckChequers now.   'Chequers pleases nobody other than the #PrimeMinister herself.'  URL #BBC #SKY #LBC @USER @USER @USER @USER @USER @USER @USER @USER #Tory #Tories	OFF
82745	@USER @USER This fluffy bastard. URL	OFF
32034	@USER @USER @USER I find it very offensive that you know what black people feel!! As a black not African because I was born in America want recognition then build your own stuff!!! It's the same with Conservatives that cry about censorship  If you don't like the rules build your own house. URL	OFF
44840	@USER Clearly that man must have been blind.  But thanks for being not only a beautiful woman on the outside but being a kick ass one on the inside as well.  I know there are many woman applauding your post along with me.	NOT
92643	@USER @USER I voted liberal for the first time on account of harper...I am satisfied with the liberals	NOT
18171	@USER @USER @USER @USER @USER @USER @USER Typical response from liberals when you're making a strong statement thats hard to argue with...📣.BOT!! Great debate Angie.  #MAGA URL	NOT
63063	@USER Well duh. That’s who he is. He defends other abusers so they’ll defend him.	NOT
10642	@USER @USER Keith did you talk about ANTIFA &amp; your support? URL	NOT
57036	@USER Smh nigga dat shit gone take us far u tweaked out🤦🏼‍♂️💯	OFF
54158	@USER @USER a nice cartoon.	NOT
58056	Opportunist to the max. An evil lier also. URL	OFF
50684	@USER Or Christian conservatives could man up and do whatever it takes to win.	NOT
90618	@USER @USER #nope... With Mm no way...maybe is time to ask Sky what has gone wrong? Because #Foster from CNN have the book first than KP tweeted about the book...  Liberals... From Trump for Americans to Mm for British... I don't known who is worst	OFF
57048	@USER HE is Satan!	OFF
65836	@USER He needs euthanasia	NOT
14978	Dr. Blasey Ford Kavanaugh #MeToo .@USER .@USER #FemFrauds #MAGA #Maddow #MorningJoe #WednesdayWisdom URL	NOT
20846	@USER Well you are dumped	NOT
34852	@USER i’m in hetero with you	NOT
91264	@USER I’m 1001 you ass	OFF
65506	@USER What if the rape never happened and she is lying? Why is her word gospel? Many women are gold diggers avengers and liars.	OFF
84924	@USER Russ us fuckin'dead	NOT
68316	@USER @USER @USER reckon he is upset about Wacky Wednesdays because the boys told him it was absolutely going to be a Mad Monday this time?	OFF
38116	1. 2 protect Trumpie. 2. 2 increase presidential powers. 3. 2 kill Roe v. Wade. 4. 2 limit voting rights. 5. 2 weaken gun control. 6. 2 deal with religious liberty. Congress is not an august body. They lost that moniker when they went whole hog 4 Trumpism. URL	OFF
11944	#Westminster @USER #Tories @USER @USER #Brexit 🇬🇧 @USER #Brexiteers #OutOfTheEU @USER #EU #Brussels #Remoaners #Remainers #Quislings #FBPE #Non-Patriots #Anti-UK #Pro-EU #Traitors #snowflakes #bedwetters #LeftieLuvvieLiberals 😂😂😂😂 URL	NOT
77021	No my family aren't MAGA they just don't care. They're apart of the populace who get distracted by pop culture completely. They have zero idea what is going on in the world until I tell them &amp; even then they don't care. I'm a lion amongst lambs. URL	OFF
27068	Elizabeth Warren Fundraises off Sexual Misconduct Allegation Against Kavanaugh URL via @USER	NOT
28696	@USER YOU ARE THE COOLEST	NOT
79560	@USER It is a suicide mission if they don't put him on the bench!  Standup for #justice and I don't mean the warped sense of justice preached by the liberals.  Get 'er done! URL	NOT
85432	"@USER @USER @USER @USER @USER Really, but he is.  Don't say because of Russian collusion, not proven after 2 yrs. Besides collusion is not a crime.  We the People"" are winning.  #WWG1WGA #MAGA"""	NOT
56705	@USER @USER @USER Different story now he’s attacking Liberals isn’t it 🤔😐 ... he’s been doing this this since #KillGough Wasn’t an issue back then tho (apparently) #auspol	NOT
65334	@USER @USER You are so far of the mark at times. You seem to be completely detached from the masses....	NOT
92761	"(Part 3)  Hey, Potato.""  //Yeah?  ""How is our inkling girl sidekick so OP?""  //...Good question.  ""She really is strange, isn't she?""  //Yeah; but she IS our sidekick."""	NOT
42118	#LindaSarsour is #FakeFeminist she's pushing #ShariaLaw and #AntiSemetic and #Liberals are buying it she was born in Brooklyn to #Palestinian parent's whom are #AntiSemetic and #AntiAmerican proves that leopard can't change it's spots.  #PcLiberal #WakeUP URL	OFF
32850	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Thanks Awake. Love you guys. 🙋‍♀️🇺🇸❤ Following all Patriots.	NOT
56034	"@USER @USER He is involved because he was there! Now he needs to man up and be at this hearing. Since when is it a choice to answer questions if you're a witness? If course his black out drunk"" phase might come into this."""	NOT
61604	@USER Great stalk..hunters like yourself and your wife are the reason why these animals exist so these crazy liberals have something to complain about.	OFF
87291	:  😂 you are so extra. URL	NOT
28082	@USER It’s a civil war politically by the Democrats and a physical war with their Brown Shirts Antifa.	NOT
63685	@USER That may be but as far as the gun thing goes it shows the total distopia that can result from gun control. Only criminals and corrupt cops have guns in Mexico and the average citizen is at t their complete mercy	NOT
26126	@USER Good	NOT
55171	Trump’s border wall will never happen. #MAGA #BlueWave2018 URL	NOT
90308	@USER BITCH I JUST POSTED ABOUT THAT KDKSKSKS I HOPE YOU GET BETTER SOON	OFF
22843	@USER @USER Then she should step down. It's not about her. She was elected by liberals. She has power cuz of liberals.	NOT
97114	@USER @USER I completely agree; which is why a potential victim's claim must be afforded due process before she (or he) is villianized.	NOT
96587	@USER @USER When the abuser projects... Look in the mirror Mark - you are crazy &amp; angry.	OFF
87598	@USER BO is bitterly PO’d that Donald Trumps presidency has made him look like the bad president that he was.	NOT
26629	@USER @USER You’re just as far away behind the goals at Hampden than you are at Wembley. There’s a lot of greeting faced people up here	NOT
88245	@USER @USER Do any Dems/libs have a real job?? They sure have a lot of free time!!	NOT
68124	#MeTooMovement has become a far left liberal political machine ran by feminist hacks that hate all men and conservatives. #Trump #MAGA #KavanaughConfirmationHearings	OFF
93181	@USER @USER @USER @USER @USER @USER @USER @USER You know you're a racist monkey huh?  I'm sure you know what you are a piece of trash.  I never hear these pieces of horse shit speak the truth only their racist lies.  Bitch boy it's ABOUT THE RACIST COPS KILLING UNARMED BLACK AND BROWN PEOPLE!!  THAT'S THE FACT.  ASS CLOWN!!	OFF
24829	@USER @USER No. He is actually bald	NOT
11562	@USER I think I would pick that just for the fun of it😂😂	NOT
47549	@USER The truth for the gun control/anti-2A URL	OFF
90875	@USER You're a piece of shit for saying that FEMA was successful in helping Puerto Rico after hurricane Maria. 3000 people died. You think that's successful? You really have no soul. You're a fucking horrible human being. I don't even think you're human. FUCK YOU!!!	OFF
95527	@USER Legit just LOL'd... Shit is funny asf	OFF
69815	@USER I'm surprised he didn't shoot his students just prove gun control is important. I'm glad I don't send kids to college. What a waste of money turning them into pumpkin heads.	OFF
28564	@USER Gun control . . . means being to hit what your aiming at! These elderly homeowner have great gun control!	OFF
24509	"@USER @USER @USER @USER @USER Oh yeah sure Antifa is anti-fascist"". Also, free speech is for everyone: liberals, conservatives, centrists, fascists, communists, anarchists, ancaps, etc. I live in the US and not a fascist state that bans what it thinks is ""hate speech"". URL"	OFF
83457	@USER @USER Wow!!! Never thought I'd see the left actually admitting they want to shut down free speech unless it's their own. At least they are admitting they are the  facist. After all they did create the 2 most facist groups...ANTIFA and KKK.	OFF
81221	@USER @USER Which is also posturing nonsense. If they want to oust her they'd forward the requisite letters to their part whip and she would be facing a leadership challenge. Her 'challengers' are as gutless and witless as she is.	OFF
60314	@USER He’s got a lot of nerve - fast &amp; furious.	NOT
82997	@USER Awesome news	NOT
55125	"@USER @USER You said that conservatives who passionately complained about deficits are now driving this speeding dump truck"". Now suddenly ""R's"" are the subject? That's what I thought. Conservatives were complaining about the ""Rs"" as well"""	NOT
