HITId	tweet	directness
2316	@user @user @user They still need to go back to the shithole countries they have helped to d\u2026 @URL	indirect
3111	@user @user Sick little cunt	indirect
4896	Useless cunt @URL	indirect
1394	@user Thanks spic	direct
1282	@user @user You literally asked you clapped cunt.	direct
3746	@user @user Why he sound retarded??	indirect
1548	@user @user @user I won\u2019t hold the previous 10 years against the retarded redneck but I do hold ton\u2026 @URL	indirect
1978	I am not ok Berlin has kicked my cunt in	indirect
1134	Now this retarded fellow is beyond tolerance . @URL	indirect
2199	Idgaf who don\u2019t talk to me \ud83e\udd37\ud83c\udffb\u200d\u2640\ufe0f I talk to my motherfuccin self .. bitch I\u2019m retarded \ud83d\ude2d\ud83d\ude29	indirect
1937	What an absolute fucking cunt. I\u2019ll stab your fucking eyes out you horrible bastard. @URL	indirect
3630	@user @user @user 2/ BOYCOTT @user @user @user @user @user @user @URL	indirect
1999	@user NYT went full retard	indirect
4097	my rap name would be Lil ching chong tbh	indirect
4401	@user @user And Obama was a member of the ?ching chong ? Club with photos of him blazing the Ganga	indirect
2266	@user Canada is a country of old immigrants mixing with new immigrants and families from everywhere just try… @URL	indirect
4426	Wetback spic.. come on racists. You can do better than that. These don't offend me and shouldn't offend my people.\u2026 @URL	indirect
4125	I was so shocked when my wife called me a lazy twat when I was in Walmart yesterday that I almost fell of my motorized scooter	indirect
1203	World ain\u2019t free. More of a cunt.	indirect
4057	I like sweets dammit! They help me be retard happy!	indirect
3113	@user ugh u cunt	indirect
2035	@user @user @user Is Donald trump a retard-.. Most people who study Down\u2019s syndrome are saying \u201cyes\u2026 @URL	indirect
3373	@user raghead killed by other ragheads. Inshallah.	indirect
2756	subscribe to my ching chong brother @URL	indirect
157	@user @user @user @user @user @user I'm 26 retard	indirect
5129	@user @user These Latinos who have a problem with immigration enforcement should stay in the shithole count\u2026 @URL	indirect
4397	@user fuk u ya fukin pussy ass Bitch. Go home faggot ass Bitch. Yo momma won\u2019t watch ya podcasts. #FukU	indirect
4589	Whats hatnen its ya chinaman lukaine here wit the kicking flava pimp shit	indirect
623	i got a asian bitch she be like ching chong	indirect
2083	Radical leftist @user contributor calls @user a \u201cterrorist sympathizer\u201d! No he\u2019s not @user doesn\u2019t sympathize\u2026 @URL	indirect
4105	@user thanks nigger i cant wait for the impending death that i have coming for me @URL	direct
880	@user @user Agreed. We should stop ALL funding to ALL of the middle east. And i mean every last\u2026 @URL	indirect
1783	Are we going to let Trump turn America into a violent \shithole\ country?	indirect
5542	@user What a horrible little cunt!! Sorry for that word but it\u2019s needed. I hope he gets banned for life.	indirect
5199	@user Please Charlene you are most welcome here in the shithole you helped created by supporting organizati\u2026 @URL	indirect
2363	Mark Wilson on Clyde talking like a total soup-taker regarding Aberdeen their fans and tickets shame on you Wilso\u2026 @URL	indirect
4732	@user On me y\u2019all mfs really retarded	indirect
1199	ching chong \ud83d\udcaf	indirect
3949	@user #elisoignaciosilvaartistaplastico #white #blanco #beautiful Black #negro… @URL	indirect
1670	@user Good luck in your semi the day ya Hibs cunt	indirect
4137	@user @user What the chinaman said.	indirect
2309	i hate @user #spic #beaner	indirect
3850	You can liecheatoffendupsetangerdisrespectalienatebully and generally be a cunt but you can't be surprised when you grow old lonely	indirect
769	@user @user @user @user Okay retard.	indirect
688	@user @user Norwegians know which country is the shithole country.	indirect
2407	@user &lt; It's often difficult to remember that this IS NOT a parody account! Trump really is this much of a cunt	direct
5215	@user Governments own the water in those 3rd world shithole countries. That is a regulation based solution. J\u2026 @URL	indirect
4422	@user he doesn't he called me a faggot then stole my wall in a burger king bathroom once	indirect
1229	@user @user Europe has enough illegal immigrants. We don't need a Sarah Palin too. Sorry.	indirect
5528	bunch of frat boy looking guys walked in being loud and obnoxious and taking selfies and making \retarded\ jokes im fucking wilting lol	indirect
2296	@user A concha you spic \ud83d\ude14\ud83d\ude14\u270a	indirect
3470	Amen. Toxic feminazi insanity. These are ladies who have no moral center no patriotic center and no understanding… @URL	indirect
2097	Bye bye streaming career. What a cunt @URL	indirect
401	Aye no offense to faggots but I gotta call out a faggot	indirect
3562	im going to twat you in the bitch	indirect
5510	@user QS s'est comme Merkel et tous les autres en Europe on aime les migrants hommes seulement pour venir c… @URL	indirect
4384	if i go on facebook n see one more twat doing blackface i might just scream	indirect
4208	It\u2019s Saturday everyone remember that beer before liquor you\u2019ve never been sicker and liquor before beer you a fucking twat man the fuck up	indirect
2725	@user @user faggot..	direct
1341	I think \the cunt\ symbolizes a window a gate opening to the real world in this case. When a baby sees his mother'\u2026 @URL	indirect
179	How many of us could keep such a spic n span kitchen if we lived at 8000+ feet without electricity tap water and\u2026 @URL	indirect
2203	@user check discord retard	indirect
3692	@user you don't even need to give it this much thought.. It's a retarded idea	indirect
2713	Man utd game like a day before kn?? Why only today bnyk ching chong?	indirect
3068	||: it ain't even been an hour and here i am ready to get this faggot killed	indirect
3336	Ma nigger @user ...Happy birthday man I hope you enjoy your day . . You're one of the greatest Thabo . .a… @URL	indirect
5594	There\u2019s no better word than disrespect to describe Jensen especially when he plays Liss. That was retarded.	indirect
4944	How convenient that Soros Clinton and Obama get suspicious packages all in 2 days. OK. These are the same assholes\u2026 @URL	indirect
809	It\u2019s okay to be a nigger\nIt\u2019s okay to be a wetback\nIt\u2019s okay to be a faggot\nIt\u2019s okay to be a gook\nIt\u2019s okay to be\u2026 @URL	indirect
4529	I hate this retarded asshole. You should be died and never aloud to walk this earth! @URL	indirect
1857	Why do I have the confidence of an ugly mongoloid like really what\u2019s wrong with me	indirect
848	@user @user bet legend make the edit of this negro getting bodied	indirect
3199	I am in total support of increasing the number of refugees we bring to NZ. The wrap around support they require is… @URL	indirect
2665	@user @user @user Lost me at \u201craghead\u201d.	indirect
2729	@user happy birthday negro!!	indirect
2921	@user I love the mindset of those who label people 'bloke hating feminazis'.	indirect
860	So glad Johnson beat lobov I hate that little midget cunt	indirect
241	Im the ultimate spic i grew up in little village and a beaner ass ranch with my drug lord abuelo so ik how to gangb\u2026 @URL	indirect
3286	Boycott the show if it goes full retard with PC \u26a1\ufe0f \u201cFans debate future of Apu amid fresh speculation he could be w\u2026 @URL	indirect
2776	Yep\u203c\ufe0f\n\nPlus spic &amp; span waxed &amp; buffed: not fitting suspects dishevelled profile; NEW posters (not faded from th\u2026 @URL	indirect
2716	*stares in nigger* @URL	indirect
2650	desc urself using ' e s t h r ' respectively \u2014 e : energetic\ns : stupud\nt : toocute\nh : hyper\nr : retarded\nif u wan\u2026 @URL	indirect
5016	If I'm biopolar from this- So is Steven King for his books. \nNice retard try. Same retard channel.	indirect
838	@user These feminazi’s are scaring away all decent men. Soon nobody will want to have anything to do w… @URL	indirect
4786	Tots on Godwin \u2014 Hilarious mongoloid @URL	direct
958	@user I love that tell her i admire her for what she's doing. I do volunteer work for Syrian refugees and any… @URL	indirect
3259	Hard to watch. But cunt doesn\u2019t cut it. Beyond words @URL	indirect
2146	miss when I was skinny off xans and retarded	indirect
1342	daddy pain tits big cunt eating cum lezbo public wank wife bbc young masturbation canada \n\n@URL	indirect
4253	Stop attacking journalists science other - shithole- countries and political \enemies\. You won in 2016 it's 201\u2026 @URL	indirect
5219	straight girls go to hamburger marys once and start thinking they can say faggot	indirect
1081	ching chong ling long!	indirect
2871	@user @user Lemon husband will be jealous!!! Buntch of retarded clowns \ud83e\udd21	indirect
1382	I buy @user @user @user @user @user @user regularly but there are alternatives for all of t\u2026 @URL	indirect
687	Someone remove mongy Jude from Corrie he makes me wanna smash my telly up \ud83d\ude43\ud83d\ude43\ud83d\ude43	indirect
1279	@user shut ur whore mouth poor ass faggot	indirect
4542	I suppose it is since the oligarchy already made America a shithole the only thing left for them to contemplate is\u2026 @URL	indirect
2755	@user Ouch my head hurts from watching this retard	indirect
3006	@user Hey faggot :)	direct
2630	@user @user I hope you are all proud of this America Fucking shithole country you are now	indirect
5196	@user @user ching chong bing bong eat dog	direct
3955	Hi everyone just letting you know that it's okay to be white #auspol	indirect
545	Guess them folks in 3rd world (dare is shithole) countries are out of luck huh? @URL	indirect
1350	After being on tumblr for a month i now want to have a visibly queer andro femme faggot trans* body. No kidding! #feminism4ever	indirect
1516	@user Just your causal spooky retard \ud83d\udc7b	indirect
2668	\u201cWhAt DoEs ThIs EvEn MeAn\u201d it means I wasn\u2019t raised on electronics and didn\u2019t have to worry about getting shot up at school retard	indirect
1605	@user is that spic speak I see?	indirect
2840	@user @user Native Americans can be both caucasian and mongoloid. Next.	indirect
2297	Ed it\u2019s not the party it was Alex jones retard. ADL already started fundraising. The jdl will come back now but I w\u2026 @URL	indirect
2308	@user @user And retard?	indirect
3879	What's big and spotty and has a cunt half way down its back? @URL	indirect
5644	(2/2) like no you fucking twat I'm doing damage so I CAN heal you. Because I ran out of biotic energy. Because gu\u2026 @URL	indirect
1621	is that supposed to deter me from giving one lmfaoo....and not @user this nigger capitalizing their sentence and using… @URL	indirect
3890	@user @user Typical from a Celtic cunt	indirect
5160	@user I\u2019ve been thinking about it and I\u2019m glad that spic @user is dead	direct
1377	@user reread that shit you illiterate twat	indirect
3732	@user For a retard \ud83d\ude02\ud83d\ude02	indirect
1891	If I have a threesome it\u2019s definitely going to be a dyke that joins because bitches ain\u2019t taking my nigga	indirect
5592	Doesn\u2019t help that this Roofe is an absolute cunt #NFFC	indirect
2905	@user Bet you didn’t have kids call you names and tell you to go back to your country lol @URL	indirect
5474	@user @user @user @user Noncing over jake are u twat	indirect
184	Again I found another liberal retard. \ud83d\udc47 @URL	indirect
3731	@user Kana ne ole le nigger	direct
2974	@user ching chong?	indirect
10	@user @user To losely quote Trump/Trumpers. We dont need immigrants - from Vietnam in this country.… @URL	indirect
1665	Portland grants $500K for immigrants' attorney fees @URL	indirect
4744	@user Is that part of your script? No wants a feminazi there! Are you going to march in DC on Thursday too w/… @URL	indirect
3434	@user didnt want to vc with you after ur antics mongoloid	indirect
4178	Tweeting this so I can save the ching chong hashtag #クッパ姫	direct
3475	Don\u2019t get shit twisted if i am stupid over a nigga best believe he dumb retarded over me .	indirect
1827	Right cuz the people fleeing their \u201cshithole countries\u201d made sure to pack their iPhones so they could check your tw\u2026 @URL	indirect
2764	The @user &amp; its hysterical #feminazi cabal has reached a new low.	indirect
2040	There\u2019s anti-Semitism present and virulent in every community from leftist to far right from conservative Christi\u2026 @URL	indirect
1105	Marz from Dark Lotus is a Bible thumping cock sucking bald headed faggot. Quit telling people you\u2019re me or vice ver\u2026 @URL	indirect
3632	People. Go stop for illegal aliens votes	indirect
541	\ud83e\udd24\ud83c\udf4f it\u2019s time de ficar mongol @URL	indirect
1892	@user I wrote brain cells retard are you fucking blind lmfao I\u2019m done with you	direct
2575	@user @user Nope because he's a cunt in general	indirect
3079	hacked into this dumbasses account lol.............. retard @URL	indirect
2347	Just watch this twat..... @URL	indirect
5004	@user @user Plateado con azulnegro etc.	indirect
4418	@user prolly thank the mentally retarded fnbse like srsly? comparing a global legend with a glassy dough poin\u2026 @URL	indirect
2937	My one day off of work and here i am up at 3:30 in the morning because my fucking calf decided to go full retard a\u2026 @URL	indirect
2741	I can cope with being called cunt anti semitic whatever. Doesn't bother me because my anti racist values are buil\u2026 @URL	indirect
4216	@user @user In Trump voice:\nMy friend the the chinaman is no longer with us #ChanDed	indirect
1119	@user @user @user Apparently Trump was talking about America when he made the \shithole countries\ comment \ud83d\ude44	indirect
559	Any country that needs armed guards in Temples and Churches &amp; proposes arming its teachers is a shithole country no\u2026 @URL	indirect
1720	why are lyft drivers so fucking retarded	indirect
926	What a fucking jackass! People really voted for this pos to be president \ud83e\udd26\u200d\u2640\ufe0f he\u2019s a fucking retarded ass bitch! I\u2026 @URL	direct
4509	@user Pussy soy boys emasculated by their feminazi mommy!	indirect
4545	@user couldn\u2019t you say the same thing about Lil Yachty or any rapper that used faggot in the last couple of years	indirect
2509	@user @user @user American workers are too privileged and lazy to work like immigrants do addit… @URL	indirect
1434	Going to university is almost unimaginable for refugees.	indirect
2740	@user is ur main goal in life 2 talk shit my nigga ching chong dog fungow	direct
4726	What a fucking cunt!!!!! @URL	indirect
2399	My goal today is to get this house spic n span	indirect
4427	nicki\u2019s so powerful! so we can call c*rdi and tell how retarded she is! \u2764\ufe0f\ud83d\ude48\u2728 @URL	indirect
3102	God bless the illegal aliens!	indirect
3735	@user @user Why not praise the ability for refugees to go back home. That’s what they want. It appears… @URL	indirect
4140	@user @user @user you can call me a ching chong for all i care	indirect
4913	@user Western Civilization is so friendly we just accept it. If the west tried to go to these shithole countries we would be genocided	indirect
4383	@user Yeah. You’re scamming yourself with that punk ass psych degree you nigger woman.	direct
2999	ucla library girl really made a point when she said ching chong ling long ting tong	indirect
3707	Yep the writing is so clearly on the wall. People come from shithole countries with the shithole attitudes polici\u2026 @URL	indirect
4115	@user Imagine being this retarded	indirect
2567	@user God damn you're a fucking retard obviously you don't know what fucking saracasm is either you fucking bitch	indirect
5544	I just received my first go back to your country so we bringing champagne or what?	indirect
1745	P.S. jethro trudeau is and always will be a useless twat! @URL	indirect
3181	@user You're a faggot.	indirect
3400	@user @user Uhhh I think that how he was killed. With \u201cevery stone\u201d! \nCan\u2019t trust a raghead as far as I ca\u2026 @URL	indirect
2024	@user @user And we all learned you\u2019re a mongoloid with this tweet. Congrats	indirect
3964	6 games in a row I\u2019ve joined in progress fuck off cunt	indirect
2409	@user answer my text faggot	indirect
1556	literally just heard a co worker cuss out her boyfriend on the phone calling him \u201ca retard and a fat fuck\u201d like tak\u2026 @URL	indirect
3213	\Matt trap this faggot\ #PS4share\n\n@URL @URL	indirect
2414	@user He's not embarrassing just a bit mongy.	indirect
3812	@user Can we please start a fire Luke campaign cause he has to be kinda retarded. Why is Rondo finishing the\u2026 @URL	indirect
187	@user i'm not even offended anymore jkfsd like jokes on you you literally went and typed ching chong unironically	indirect
3326	Patiently waiting for the day a mayo head has the balls to call me a spick or a wetback.	indirect
5332	@user Fuck you fucken wetback spic	indirect
1395	@user Funny you should mention splodes I just came second because of a mongoloid who shot me twice with a rocket launcher	indirect
375	imagine being a fibbonaci sequence and only having on relation to the golden ratio you fucking retard\n\n(this post i\u2026 @URL	indirect
223	@user @user @user Hahaha fucking cunt... I don't know what's worse. Joking about a terribl\u2026 @URL	indirect
4161	@user @user Oh hell.. I wish they treated Kavanaugh the way they treat their illegal aliens...	indirect
4603	2nd &amp; 22 Eddie fucking dumbass retard Gran decides to run a bubble screen. Fire his dumb ass.	indirect
4748	Did you know that being a complete fucking twat to people who work retail can take years off your life?	indirect
4267	I fucking hate that lanky ginger cunt Joseph Brady	indirect
3591	the past tense of tweet is twat. this is how I get back in the Twitter game.	indirect
4959	Fuck the faggot	indirect
5418	8 months and the DVLA have finally reissued my license after that Atos twat reported me.\n\nVindication \u270a	indirect
4220	@user what's a spic\u2014	indirect
2278	Desh wasio\nSonia Gandhi ne aapke 1 lakh karod Anil ji ko de diye.\n\nSounds retarded right u Pidi's? That's how ur b\u2026 @URL	indirect
2486	nothing makes me laugh harder than when niggas call other black people nigger or blacks	indirect
4271	@user Barns heard them discussing the 'lecherous twat' and mistook it for 'leftist plot'.\n\nEasily done ....	indirect
831	Just sign the sexy dreamy cunt already @URL	indirect
2533	Dave Roberts is full on fucking retarded	indirect
258	@user fuck y edrepresed cjkt biggs faggot	direct
3507	@user *screeches in high pitched ching chong chong”	indirect
2699	@user Nice to see you supporting a terrorist. Even funnier when you claim every \leftist\ never denounces A\u2026 @URL	indirect
263	Snapchat vid of you're sneakers in the footwell with mongy tunes on in the background... #GenderNeutralBehaviour	indirect
2436	Who said women know how to drive?... daft twat \ud83d\udd95 @URL	indirect
1951	Debating whether to call the floor on a verbally abusive mega fish if he ends up calling me a faggot is not a healthy way to live.	indirect
4460	@user @user Shooter was A Nazi a leftist terrorist and a Palestinian sympathizer...	indirect
510	in the beningging assert your dominance ching chong 100 boundaries	indirect
3060	@user @user Blood of Jesus \ud83d\ude2d\ud83d\ude2d\ud83d\ude2d\ud83d\ude2d\ud83d\ude2d ching chong @URL	indirect
301	Wow I thought there's only one retard. Turn out there's more. Time to clear the list	indirect
497	@user Suck my dick and lick my ass faggot @URL	direct
1997	Your best dj the black negro tenia que ser @URL	indirect
669	@user Jackson dont tweet about weed you're a faggot it ruins lives and its terrible for you and you're gay and i drinking is cool	direct
2230	'Sink or swim' is a common phrase in the streets of Nairobi. You have to work your a** off or go back to your country.	indirect
1831	tryna scam money off men and i\u2019m unsuccessful tonight i guess they smell the dyke on me goodnight	indirect
4879	If Ashley Young is Manchester United's captain then I'm a chinaman	indirect
758	ICE operation spanning Michigan and Ohio results in 105 arrests of criminal illegal aliens!	indirect
3041	@user @user Dirty raghead.	indirect
2936	@user I\u2019d cover my face too if I retarded out a tweet like that.	indirect
562	Mourinho is a self-centred twat	indirect
2118	retarded mod banned @user for a fucking year with literally no valid evidence this is what the server has come to lmao	indirect
2143	Sweden’s PM “I will continue to pursue the issue of compelling countries to accept a quota of refugees coming to Eu… @URL	indirect
341	@user Look at all the feminazi. I don’t believe it with out listening to a single word your pathetic hop… @URL	indirect
5551	@user Ight nigger	direct
2707	@user Borin moodly auld cunt	indirect
4520	3. The food bank director separated requests into 2 stacks: locals &amp; immigrants. How did the church respond? ‘The 1… @URL	indirect
506	Y\u2019all can\u2019t be friends because you harass her and call her a spic but go ahead and flex for Twitter boo \ud83d\ude09 @URL	indirect
2975	@user @user @user @user #IllegalAliens aren't immigrants.	indirect
1699	@user ole fiend out lame ass negro lol	indirect
1268	\ud83e\udd14...but shithole countries? @URL	indirect
4614	@user @user Boy Og that was kb faggot ass	direct
1309	People are fucking retarded I\u2019m done wasting my time \ud83e\udd23	indirect
2642	If leftist/Marxist/dems went after terrorist illegal aliens reduce tax burden on Americans bad trade deals exce… @URL	indirect
4124	They might not the new #demographics of the #Democrats is from #immigrants that do not have the same adverse gut… @URL	indirect
4960	@user @user @user Since we slipped into the retard zone you absolutely have no idea what terroris\u2026 @URL	indirect
49	@user it's not fair nigger!	indirect
448	This spineless twat is criticizing other countries that keep #mirgranthoardes out while woman are raped on the stre\u2026 @URL	indirect
1923	@user @user When Trump jr ends up in jail he will be the hunted instead of defenseless animals in africa.	indirect
3798	TWEET	indirect
3182	@user Farsiwanis go back to your country iran	direct
1860	bring disease	indirect
1881	twat on the left keeps telling me to just stopstop whatdefeating them at every electionstop cancelling all of th\u2026 @URL	indirect
1626	time flies when you\u2019re a faggot	direct
4868	That niggas retarded	direct
2056	@user Zumbe negro	indirect
5303	This faggot bus driver is driving like 10mph wtf	indirect
5127	The dead was still warm when she tweeted this &amp; it was that cunt &amp; her mate #obama who sent the fcking lowlife \n\n@URL	indirect
4892	@user And if you notice even that chinaman can come out scrambled from him.	indirect
3948	@user @user Reality: Being the citizen of a shithole country doesn\u2019t qualify for asylum.\n\nReality\u2026 @URL	indirect
1200	this one guy called this girl a spic and i was gonna fuckin swing	indirect
2738	Go ahead let this mongoloid kill business in Florida. @URL	indirect
3864	It took 18 innings and and a retard to cost me my sweep bet but somehow they got me. #WorldSeriesgame3	indirect
3280	@user Ever heard of Europe? You're acting like I'm from some fucking shithole where there are no human r\u2026 @URL	indirect
4822	this is why i don't like china that disgusting ching chong country @URL	indirect
3332	@user Can you advocate for the families separated forever by criminal illegal aliens or does that not fit your narrative	indirect
1127	@user The Reason we have an Immagration Problem is Mexico . If Mexico wouldn\u2019t be such a shithole. Everyone\u2026 @URL	indirect
2217	@user If he carries on like this he might beat Piers Morgan to the twat of the decade award	indirect
2514	God why do I have to be such a faggot?	direct
3754	@user Devon is one of the most spergy of spergs. Didn't this faggot threaten to dox a 14 year old kid bec\u2026 @URL	indirect
3785	Dave Roberts has brought us to back to back World Series. He acted like an absolute retard tonight but we shouldn\u2019t fire him.	indirect
