id	tweet	annotator_sentiment
534	if she doesn't stream men then she doesn't who asked for your opinion cunt @URL	fear_indifference
3500	@user Be (shithole countries sons of bitches bleeding from her whatever sleepy eyes grab them by the\u2026 @URL	anger_confusion_sadness_shock_indifference
755	@user Shut it you egocentric twat. I loathe unprincipled people like you	anger_disgust
1423	Wow. What a twat you are @URL	anger_shock
2206	moji it was a spic from my picture	anger_sadness_shock_indifference_disgust
4575	@user This is him on my wacom while I try to work. @URL	anger_confusion_sadness_shock_disgust
3037	Looking for reputable charities and organizations to donate towards refugees and children. Please send me links.	sadness_disgust
5234	supra is a fucking faggot	anger_disgust
1257	why do some gays think being masc &amp; hating fems makes them better than the other gays like the world is still gonna see u as a faggot	sadness_disgust
4802	@user @user @user Did he not call Nigerians other African countries \shithole\? Are u guys se\u2026 @URL	anger_disgust
3800	If race is a social construct why are all the leftists and Anti-Whites always attacking White people White values\u2026 @URL	anger_indifference
183	@user You calling people insensitive! That\u2019s the best tweet of the day.. daft cunt	anger_sadness_shock_indifference_disgust
3823	@user No bro go post ur toes retard	anger_sadness
1571	thoughts about allen \u2014 My baby boy!!!!! He\u2019s cool better than me sa guitar pero sa vocals hinde mongoloid siya. H\u2026 @URL	anger_confusion_sadness_shock_disgust
5541	Any retard want to take UK +25 hit my line	anger_confusion_shock_indifference_disgust
1037	@user you a spick fucking wetback	anger_disgust
3944	jamie oliver is a twat jamie oliver is a twat jamie oliver is a twat jamie oliver is a twat jamie oliver is a twat\u2026 @URL	anger_sadness_shock_indifference_disgust
2355	@user not that I think you\u2019re a twat \ud83d\ude02\ud83d\ude02\ud83d\udc4f\ud83d\udc4f @URL	indifference_disgust
2825	D-Rats and feminazi abortion devils came trolling with carloads of cash. Despicable! @URL	anger_sadness
1980	Keep that SAME energy while your faves are getting called ching chong dog eaters f*gs. How tf are you gonna laugh… @URL	indifference_disgust
5348	\Combover twitter-rat tweet-twat tripe-gob muckspout\u201d \u2026 so runs the first stanza of \u201cSwearing In\u201d by Carol Ann\u2026 @URL	anger_confusion
1957	This is Colombia negro @URL	confusion_indifference
4590	Anytime anyone says fag or faggot I casually ask how the 6th grade is going. Like are really still calling people that in 2018 LMAO	shock_disgust
437	Are you free? Why? \u2014 No bc the government is a cunt @URL	confusion_fear_indifference_sadness_disgust
1873	@user So sorry to hear about your experience Mr Punia :( We try our best to keep our aircraft spic and span\u2026 @URL	anger_indifference
3571	i swear this nigga retarded bruh @URL	confusion_sadness
921	@user @user @user what say you mongol mouth?	anger_fear_shock_sadness_disgust
5386	Typical nigger	anger_disgust
475	@user @user Tranquilo pe mongol ctmre.	anger_confusion_shock_indifference_disgust
2316	@user @user @user They still need to go back to the shithole countries they have helped to d\u2026 @URL	confusion_sadness
3111	@user @user Sick little cunt	sadness_indifference
4896	Useless cunt @URL	anger_sadness
1394	@user Thanks spic	anger_confusion_fear_shock_sadness
1282	@user @user You literally asked you clapped cunt.	shock_disgust
3746	@user @user Why he sound retarded??	anger_disgust
1548	@user @user @user I won\u2019t hold the previous 10 years against the retarded redneck but I do hold ton\u2026 @URL	anger_sadness_indifference_disgust
1978	I am not ok Berlin has kicked my cunt in	indifference_disgust
1134	Now this retarded fellow is beyond tolerance . @URL	sadness_indifference
2199	Idgaf who don\u2019t talk to me \ud83e\udd37\ud83c\udffb\u200d\u2640\ufe0f I talk to my motherfuccin self .. bitch I\u2019m retarded \ud83d\ude2d\ud83d\ude29	anger_confusion_sadness_indifference_disgust
1937	What an absolute fucking cunt. I\u2019ll stab your fucking eyes out you horrible bastard. @URL	anger_confusion_fear_indifference_disgust
3630	@user @user @user 2/ BOYCOTT @user @user @user @user @user @user @URL	shock_indifference
1999	@user NYT went full retard	anger_disgust
4097	my rap name would be Lil ching chong tbh	sadness_indifference
4401	@user @user And Obama was a member of the ?ching chong ? Club with photos of him blazing the Ganga	confusion_sadness_shock_indifference_disgust
2266	@user Canada is a country of old immigrants mixing with new immigrants and families from everywhere just try… @URL	anger_sadness_shock_indifference_disgust
4426	Wetback spic.. come on racists. You can do better than that. These don't offend me and shouldn't offend my people.\u2026 @URL	anger_sadness
4125	I was so shocked when my wife called me a lazy twat when I was in Walmart yesterday that I almost fell of my motorized scooter	anger_sadness_shock_indifference
1203	World ain\u2019t free. More of a cunt.	anger_sadness_shock_indifference_disgust
4057	I like sweets dammit! They help me be retard happy!	sadness_disgust
3113	@user ugh u cunt	sadness_indifference
2035	@user @user @user Is Donald trump a retard-.. Most people who study Down\u2019s syndrome are saying \u201cyes\u2026 @URL	anger_confusion_fear_shock_disgust
3373	@user raghead killed by other ragheads. Inshallah.	confusion_sadness_shock_indifference_disgust
2756	subscribe to my ching chong brother @URL	anger_disgust
157	@user @user @user @user @user @user I'm 26 retard	anger_disgust
5129	@user @user These Latinos who have a problem with immigration enforcement should stay in the shithole count\u2026 @URL	anger_disgust
4397	@user fuk u ya fukin pussy ass Bitch. Go home faggot ass Bitch. Yo momma won\u2019t watch ya podcasts. #FukU	sadness_shock
4589	Whats hatnen its ya chinaman lukaine here wit the kicking flava pimp shit	shock_disgust
623	i got a asian bitch she be like ching chong	shock_indifference
2083	Radical leftist @user contributor calls @user a \u201cterrorist sympathizer\u201d! No he\u2019s not @user doesn\u2019t sympathize\u2026 @URL	anger_disgust
4105	@user thanks nigger i cant wait for the impending death that i have coming for me @URL	anger_disgust
880	@user @user Agreed. We should stop ALL funding to ALL of the middle east. And i mean every last\u2026 @URL	anger_disgust
1783	Are we going to let Trump turn America into a violent \shithole\ country?	confusion_disgust
5542	@user What a horrible little cunt!! Sorry for that word but it\u2019s needed. I hope he gets banned for life.	anger_sadness
5199	@user Please Charlene you are most welcome here in the shithole you helped created by supporting organizati\u2026 @URL	confusion_disgust
2363	Mark Wilson on Clyde talking like a total soup-taker regarding Aberdeen their fans and tickets shame on you Wilso\u2026 @URL	anger_fear_indifference_sadness_disgust
4732	@user On me y\u2019all mfs really retarded	sadness_disgust
1199	ching chong \ud83d\udcaf	sadness_disgust
3949	@user #elisoignaciosilvaartistaplastico #white #blanco #beautiful Black #negro… @URL	anger_sadness_shock_indifference_disgust
1670	@user Good luck in your semi the day ya Hibs cunt	anger_confusion_sadness_shock_disgust
4137	@user @user What the chinaman said.	anger_confusion_fear_shock_indifference
2309	i hate @user #spic #beaner	indifference_disgust
3850	You can liecheatoffendupsetangerdisrespectalienatebully and generally be a cunt but you can't be surprised when you grow old lonely	anger_sadness_shock_indifference_disgust
769	@user @user @user @user Okay retard.	anger_confusion_fear_sadness_disgust
688	@user @user Norwegians know which country is the shithole country.	sadness_indifference
2407	@user &lt; It's often difficult to remember that this IS NOT a parody account! Trump really is this much of a cunt	shock_indifference
5215	@user Governments own the water in those 3rd world shithole countries. That is a regulation based solution. J\u2026 @URL	confusion_shock
4422	@user he doesn't he called me a faggot then stole my wall in a burger king bathroom once	confusion_fear_shock_indifference_sadness
1229	@user @user Europe has enough illegal immigrants. We don't need a Sarah Palin too. Sorry.	anger_confusion_sadness_indifference
5528	bunch of frat boy looking guys walked in being loud and obnoxious and taking selfies and making \retarded\ jokes im fucking wilting lol	anger_confusion_shock_indifference_disgust
2296	@user A concha you spic \ud83d\ude14\ud83d\ude14\u270a	fear_shock_indifference_sadness_disgust
3470	Amen. Toxic feminazi insanity. These are ladies who have no moral center no patriotic center and no understanding… @URL	anger_fear_indifference_sadness_disgust
2097	Bye bye streaming career. What a cunt @URL	anger_fear_shock_indifference_disgust
401	Aye no offense to faggots but I gotta call out a faggot	anger_confusion_fear_indifference_disgust
3562	im going to twat you in the bitch	fear_shock
5510	@user QS s'est comme Merkel et tous les autres en Europe on aime les migrants hommes seulement pour venir c… @URL	anger_disgust
4384	if i go on facebook n see one more twat doing blackface i might just scream	anger_sadness
4208	It\u2019s Saturday everyone remember that beer before liquor you\u2019ve never been sicker and liquor before beer you a fucking twat man the fuck up	confusion_fear_shock_sadness_disgust
2725	@user @user faggot..	confusion_indifference
1341	I think \the cunt\ symbolizes a window a gate opening to the real world in this case. When a baby sees his mother'\u2026 @URL	confusion_fear_indifference_sadness_disgust
179	How many of us could keep such a spic n span kitchen if we lived at 8000+ feet without electricity tap water and\u2026 @URL	indifference_disgust
2203	@user check discord retard	sadness_disgust
3692	@user you don't even need to give it this much thought.. It's a retarded idea	anger_sadness
2713	Man utd game like a day before kn?? Why only today bnyk ching chong?	anger_sadness_shock_indifference_disgust
3068	||: it ain't even been an hour and here i am ready to get this faggot killed	anger_sadness
3336	Ma nigger @user ...Happy birthday man I hope you enjoy your day . . You're one of the greatest Thabo . .a… @URL	anger_sadness_shock_indifference_disgust
5594	There\u2019s no better word than disrespect to describe Jensen especially when he plays Liss. That was retarded.	indifference_disgust
4944	How convenient that Soros Clinton and Obama get suspicious packages all in 2 days. OK. These are the same assholes\u2026 @URL	anger_sadness_shock_indifference_disgust
809	It\u2019s okay to be a nigger\nIt\u2019s okay to be a wetback\nIt\u2019s okay to be a faggot\nIt\u2019s okay to be a gook\nIt\u2019s okay to be\u2026 @URL	anger_fear
4529	I hate this retarded asshole. You should be died and never aloud to walk this earth! @URL	sadness_shock_indifference_disgust
1857	Why do I have the confidence of an ugly mongoloid like really what\u2019s wrong with me	confusion_disgust
848	@user @user bet legend make the edit of this negro getting bodied	shock_disgust
3199	I am in total support of increasing the number of refugees we bring to NZ. The wrap around support they require is… @URL	sadness_disgust
2665	@user @user @user Lost me at \u201craghead\u201d.	confusion_disgust
2729	@user happy birthday negro!!	confusion_sadness
2921	@user I love the mindset of those who label people 'bloke hating feminazis'.	confusion_sadness
860	So glad Johnson beat lobov I hate that little midget cunt	anger_confusion_sadness_indifference_disgust
241	Im the ultimate spic i grew up in little village and a beaner ass ranch with my drug lord abuelo so ik how to gangb\u2026 @URL	anger_fear_indifference_sadness_disgust
3286	Boycott the show if it goes full retard with PC \u26a1\ufe0f \u201cFans debate future of Apu amid fresh speculation he could be w\u2026 @URL	confusion_fear_indifference_sadness_disgust
2776	Yep\u203c\ufe0f\n\nPlus spic &amp; span waxed &amp; buffed: not fitting suspects dishevelled profile; NEW posters (not faded from th\u2026 @URL	confusion_disgust
2716	*stares in nigger* @URL	sadness_indifference
2650	desc urself using ' e s t h r ' respectively \u2014 e : energetic\ns : stupud\nt : toocute\nh : hyper\nr : retarded\nif u wan\u2026 @URL	anger_fear_indifference_sadness_disgust
5016	If I'm biopolar from this- So is Steven King for his books. \nNice retard try. Same retard channel.	sadness_disgust
838	@user These feminazi’s are scaring away all decent men. Soon nobody will want to have anything to do w… @URL	anger_disgust
4786	Tots on Godwin \u2014 Hilarious mongoloid @URL	anger_fear_shock_sadness_disgust
958	@user I love that tell her i admire her for what she's doing. I do volunteer work for Syrian refugees and any… @URL	anger_confusion_shock_indifference_disgust
3259	Hard to watch. But cunt doesn\u2019t cut it. Beyond words @URL	sadness_disgust
2146	miss when I was skinny off xans and retarded	fear_disgust
1342	daddy pain tits big cunt eating cum lezbo public wank wife bbc young masturbation canada \n\n@URL	shock_indifference
4253	Stop attacking journalists science other - shithole- countries and political \enemies\. You won in 2016 it's 201\u2026 @URL	anger_confusion_fear_indifference_disgust
5219	straight girls go to hamburger marys once and start thinking they can say faggot	anger_disgust
1081	ching chong ling long!	anger_fear_indifference_sadness_disgust
2871	@user @user Lemon husband will be jealous!!! Buntch of retarded clowns \ud83e\udd21	anger_disgust
1382	I buy @user @user @user @user @user @user regularly but there are alternatives for all of t\u2026 @URL	indifference_disgust
687	Someone remove mongy Jude from Corrie he makes me wanna smash my telly up \ud83d\ude43\ud83d\ude43\ud83d\ude43	sadness_indifference
1279	@user shut ur whore mouth poor ass faggot	anger_confusion_sadness_shock_disgust
4542	I suppose it is since the oligarchy already made America a shithole the only thing left for them to contemplate is\u2026 @URL	anger_fear_indifference_sadness_disgust
2755	@user Ouch my head hurts from watching this retard	anger_disgust
3006	@user Hey faggot :)	anger_fear_shock_indifference_sadness
2630	@user @user I hope you are all proud of this America Fucking shithole country you are now	anger_confusion_sadness_indifference_disgust
5196	@user @user ching chong bing bong eat dog	confusion_disgust
3955	Hi everyone just letting you know that it's okay to be white #auspol	anger_confusion_sadness_shock_indifference
545	Guess them folks in 3rd world (dare is shithole) countries are out of luck huh? @URL	anger_fear_shock_sadness
1350	After being on tumblr for a month i now want to have a visibly queer andro femme faggot trans* body. No kidding! #feminism4ever	confusion_indifference
1516	@user Just your causal spooky retard \ud83d\udc7b	anger_sadness
2668	\u201cWhAt DoEs ThIs EvEn MeAn\u201d it means I wasn\u2019t raised on electronics and didn\u2019t have to worry about getting shot up at school retard	confusion_disgust
1605	@user is that spic speak I see?	confusion_sadness_shock_indifference_disgust
2840	@user @user Native Americans can be both caucasian and mongoloid. Next.	shock_indifference
2297	Ed it\u2019s not the party it was Alex jones retard. ADL already started fundraising. The jdl will come back now but I w\u2026 @URL	fear_shock_indifference_sadness_disgust
2308	@user @user And retard?	indifference_disgust
3879	What's big and spotty and has a cunt half way down its back? @URL	indifference_disgust
5644	(2/2) like no you fucking twat I'm doing damage so I CAN heal you. Because I ran out of biotic energy. Because gu\u2026 @URL	anger_shock_indifference_disgust
1621	is that supposed to deter me from giving one lmfaoo....and not @user this nigger capitalizing their sentence and using… @URL	anger_confusion_sadness_shock_indifference
3890	@user @user Typical from a Celtic cunt	sadness_shock
5160	@user I\u2019ve been thinking about it and I\u2019m glad that spic @user is dead	sadness_shock
1377	@user reread that shit you illiterate twat	confusion_indifference
3732	@user For a retard \ud83d\ude02\ud83d\ude02	shock_indifference
1891	If I have a threesome it\u2019s definitely going to be a dyke that joins because bitches ain\u2019t taking my nigga	anger_sadness
5592	Doesn\u2019t help that this Roofe is an absolute cunt #NFFC	anger_confusion_sadness_indifference_disgust
2905	@user Bet you didn’t have kids call you names and tell you to go back to your country lol @URL	shock_disgust
5474	@user @user @user @user Noncing over jake are u twat	anger_confusion_sadness_shock_disgust
184	Again I found another liberal retard. \ud83d\udc47 @URL	anger_sadness_shock_indifference_disgust
3731	@user Kana ne ole le nigger	shock_disgust
2974	@user ching chong?	anger_sadness
10	@user @user To losely quote Trump/Trumpers. We dont need immigrants - from Vietnam in this country.… @URL	anger_sadness
1665	Portland grants $500K for immigrants' attorney fees @URL	anger_confusion_sadness_indifference_fear
4744	@user Is that part of your script? No wants a feminazi there! Are you going to march in DC on Thursday too w/… @URL	confusion_sadness_shock_indifference_disgust
3434	@user didnt want to vc with you after ur antics mongoloid	sadness_disgust
4178	Tweeting this so I can save the ching chong hashtag #クッパ姫	anger_sadness_shock_indifference_disgust
3475	Don\u2019t get shit twisted if i am stupid over a nigga best believe he dumb retarded over me .	sadness_indifference
1827	Right cuz the people fleeing their \u201cshithole countries\u201d made sure to pack their iPhones so they could check your tw\u2026 @URL	sadness_indifference
2764	The @user &amp; its hysterical #feminazi cabal has reached a new low.	anger_sadness_shock_indifference_disgust
2040	There\u2019s anti-Semitism present and virulent in every community from leftist to far right from conservative Christi\u2026 @URL	indifference_disgust
1105	Marz from Dark Lotus is a Bible thumping cock sucking bald headed faggot. Quit telling people you\u2019re me or vice ver\u2026 @URL	anger_sadness_shock_indifference_disgust
3632	People. Go stop for illegal aliens votes	shock_indifference
541	\ud83e\udd24\ud83c\udf4f it\u2019s time de ficar mongol @URL	anger_confusion
1892	@user I wrote brain cells retard are you fucking blind lmfao I\u2019m done with you	shock_disgust
2575	@user @user Nope because he's a cunt in general	sadness_fear
3079	hacked into this dumbasses account lol.............. retard @URL	anger_sadness_shock_indifference_disgust
2347	Just watch this twat..... @URL	confusion_shock
5004	@user @user Plateado con azulnegro etc.	shock_indifference
4418	@user prolly thank the mentally retarded fnbse like srsly? comparing a global legend with a glassy dough poin\u2026 @URL	sadness_indifference
2937	My one day off of work and here i am up at 3:30 in the morning because my fucking calf decided to go full retard a\u2026 @URL	anger_confusion_sadness_shock_disgust
2741	I can cope with being called cunt anti semitic whatever. Doesn't bother me because my anti racist values are buil\u2026 @URL	anger_fear_shock_sadness_disgust
4216	@user @user In Trump voice:\nMy friend the the chinaman is no longer with us #ChanDed	confusion_indifference
1119	@user @user @user Apparently Trump was talking about America when he made the \shithole countries\ comment \ud83d\ude44	anger_sadness
559	Any country that needs armed guards in Temples and Churches &amp; proposes arming its teachers is a shithole country no\u2026 @URL	anger_disgust
1720	why are lyft drivers so fucking retarded	anger_confusion_fear_indifference_disgust
926	What a fucking jackass! People really voted for this pos to be president \ud83e\udd26\u200d\u2640\ufe0f he\u2019s a fucking retarded ass bitch! I\u2026 @URL	sadness_disgust
4509	@user Pussy soy boys emasculated by their feminazi mommy!	anger_disgust
4545	@user couldn\u2019t you say the same thing about Lil Yachty or any rapper that used faggot in the last couple of years	anger_shock
2509	@user @user @user American workers are too privileged and lazy to work like immigrants do addit… @URL	anger_sadness_shock_indifference_disgust
1434	Going to university is almost unimaginable for refugees.	confusion_sadness
2740	@user is ur main goal in life 2 talk shit my nigga ching chong dog fungow	anger_fear_shock_sadness_disgust
4726	What a fucking cunt!!!!! @URL	shock_disgust
2399	My goal today is to get this house spic n span	anger_fear_indifference_sadness_disgust
4427	nicki\u2019s so powerful! so we can call c*rdi and tell how retarded she is! \u2764\ufe0f\ud83d\ude48\u2728 @URL	anger_sadness_shock_indifference_disgust
3102	God bless the illegal aliens!	confusion_disgust
3735	@user @user Why not praise the ability for refugees to go back home. That’s what they want. It appears… @URL	confusion_fear_shock_indifference_sadness
4140	@user @user @user you can call me a ching chong for all i care	sadness_indifference
4913	@user Western Civilization is so friendly we just accept it. If the west tried to go to these shithole countries we would be genocided	anger_indifference
4383	@user Yeah. You’re scamming yourself with that punk ass psych degree you nigger woman.	anger_disgust
2999	ucla library girl really made a point when she said ching chong ling long ting tong	confusion_fear_shock_indifference_disgust
3707	Yep the writing is so clearly on the wall. People come from shithole countries with the shithole attitudes polici\u2026 @URL	anger_confusion_fear_indifference_disgust
4115	@user Imagine being this retarded	sadness_disgust
2567	@user God damn you're a fucking retard obviously you don't know what fucking saracasm is either you fucking bitch	fear_disgust
5544	I just received my first go back to your country so we bringing champagne or what?	anger_sadness
1745	P.S. jethro trudeau is and always will be a useless twat! @URL	fear_shock_indifference_sadness_disgust
3181	@user You're a faggot.	shock_disgust
3400	@user @user Uhhh I think that how he was killed. With \u201cevery stone\u201d! \nCan\u2019t trust a raghead as far as I ca\u2026 @URL	anger_confusion_fear_indifference_disgust
2024	@user @user And we all learned you\u2019re a mongoloid with this tweet. Congrats	confusion_sadness_shock_indifference_disgust
3964	6 games in a row I\u2019ve joined in progress fuck off cunt	sadness_shock_indifference_disgust
2409	@user answer my text faggot	shock_indifference
1556	literally just heard a co worker cuss out her boyfriend on the phone calling him \u201ca retard and a fat fuck\u201d like tak\u2026 @URL	anger_disgust
3213	\Matt trap this faggot\ #PS4share\n\n@URL @URL	confusion_sadness
2414	@user He's not embarrassing just a bit mongy.	sadness_disgust
3812	@user Can we please start a fire Luke campaign cause he has to be kinda retarded. Why is Rondo finishing the\u2026 @URL	anger_sadness_shock_indifference_disgust
187	@user i'm not even offended anymore jkfsd like jokes on you you literally went and typed ching chong unironically	indifference_disgust
3326	Patiently waiting for the day a mayo head has the balls to call me a spick or a wetback.	fear_disgust
5332	@user Fuck you fucken wetback spic	confusion_disgust
1395	@user Funny you should mention splodes I just came second because of a mongoloid who shot me twice with a rocket launcher	sadness_disgust
375	imagine being a fibbonaci sequence and only having on relation to the golden ratio you fucking retard\n\n(this post i\u2026 @URL	anger_fear_shock_sadness_disgust
223	@user @user @user Hahaha fucking cunt... I don't know what's worse. Joking about a terribl\u2026 @URL	anger_confusion_fear_sadness_disgust
4161	@user @user Oh hell.. I wish they treated Kavanaugh the way they treat their illegal aliens...	anger_fear_shock_indifference_sadness
4603	2nd &amp; 22 Eddie fucking dumbass retard Gran decides to run a bubble screen. Fire his dumb ass.	sadness_indifference
4748	Did you know that being a complete fucking twat to people who work retail can take years off your life?	confusion_indifference
4267	I fucking hate that lanky ginger cunt Joseph Brady	shock_disgust
3591	the past tense of tweet is twat. this is how I get back in the Twitter game.	anger_fear_indifference_sadness_disgust
4959	Fuck the faggot	anger_sadness
5418	8 months and the DVLA have finally reissued my license after that Atos twat reported me.\n\nVindication \u270a	anger_fear_indifference_sadness
4220	@user what's a spic\u2014	shock_disgust
2278	Desh wasio\nSonia Gandhi ne aapke 1 lakh karod Anil ji ko de diye.\n\nSounds retarded right u Pidi's? That's how ur b\u2026 @URL	sadness_indifference
2486	nothing makes me laugh harder than when niggas call other black people nigger or blacks	fear_shock_indifference_sadness_disgust
4271	@user Barns heard them discussing the 'lecherous twat' and mistook it for 'leftist plot'.\n\nEasily done ....	indifference_disgust
831	Just sign the sexy dreamy cunt already @URL	anger_indifference
2533	Dave Roberts is full on fucking retarded	anger_confusion_sadness_indifference_disgust
